threshold,prompt_tokens,compressed_heads,bank_build_s,baseline_pred,compact_pred,answer,baseline_correct,compact_correct,agreement,baseline_answer_score,compact_answer_score,answer_score_delta,baseline_margin,compact_margin,baseline_scores,compact_scores,choice_scoring,task_id,question
0.901,1262,80,0.522584,A,A,A,True,True,True,-12.3911,-7.91632,4.47474,6.80929,10.5132,"{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}","{""A"": -7.916324499994516, ""B"": -22.85646507097408, ""C"": -18.42950474191457, ""D"": -19.756501871554065}",text_only,route_phase1,Which method is listed as Phase 1 in the route?
0.901,1264,80,0.365722,A,A,A,True,True,True,-15.4029,-13.4033,1.99963,4.77104,4.97791,"{""A"": -15.402930839860346, ""B"": -20.173967789472954, ""C"": -20.363294799346477, ""D"": -24.459885722055333}","{""A"": -13.403296828269958, ""B"": -19.736208497512052, ""C"": -18.381205915356986, ""D"": -22.489961566054262}",text_only,route_phase2,Which item is listed as Phase 2 in the route?
0.901,1265,80,0.3739,A,A,A,True,True,True,-16.6898,-15.1608,1.52905,1.31968,0.306217,"{""A"": -16.68983697553631, ""B"": -18.009518101171125, ""C"": -20.990105989309086, ""D"": -22.663113873451948}","{""A"": -15.160789779853076, ""B"": -15.467006493156077, ""C"": -20.509082621305424, ""D"": -20.782048523426056}",text_only,route_phase3,Which method is listed as Phase 3 in the route?
0.901,1257,80,0.365191,A,A,A,True,True,True,-12.7524,-12.6169,0.135576,5.57247,7.02153,"{""A"": -12.752443125471473, ""B"": -18.324914421886206, ""C"": -25.615864077582955, ""D"": -21.615622255951166}","{""A"": -12.616867175325751, ""B"": -19.638401050120592, ""C"": -25.400107745081186, ""D"": -20.34280559234321}",text_only,long_context_bottleneck,What bottleneck is highlighted for long-context decode?
0.901,1258,80,0.375094,A,A,A,True,True,True,-15.4685,-18.1849,-2.71639,2.53602,0.0500762,"{""A"": -15.468533321516588, ""B"": -26.437658164650202, ""C"": -18.00455755367875, ""D"": -22.665814893320203}","{""A"": -18.18491891026497, ""B"": -27.899424269795418, ""C"": -18.23499509692192, ""D"": -22.029132790863514}",text_only,quest_decode_selection,"During decode, what does Quest select?"
0.901,1265,80,0.377711,A,A,A,True,True,True,-15.4863,-12.166,3.3203,2.33835,4.57956,"{""A"": -15.486311435553944, ""B"": -19.083688730723225, ""C"": -30.420527301728725, ""D"": -17.824661377700977}","{""A"": -12.166009669948835, ""B"": -19.236054653301835, ""C"": -28.693224065820687, ""D"": -16.745572544634342}",text_only,quest_summary_form,What summary form does the Quest design choose for each KV block?
0.901,1261,80,0.361936,A,A,A,True,True,True,-13.9754,-11.9936,1.98182,2.42178,2.59476,"{""A"": -13.97538874228485, ""B"": -16.3971646921309, ""C"": -17.77355841640383, ""D"": -18.40202853221831}","{""A"": -11.993572941049933, ""B"": -14.588330010388745, ""C"": -15.842029985040426, ""D"": -16.55469572378172}",text_only,quest_dtype,What dtype choice is listed for Quest summaries?
0.901,1272,80,0.367046,A,A,A,True,True,True,-13.7068,-10.6622,3.04462,1.93063,2.33966,"{""A"": -13.706773097877885, ""B"": -15.637404022418195, ""C"": -18.50554686426767, ""D"": -17.00593475092319}","{""A"": -10.662153558914724, ""B"": -13.879140611796174, ""C"": -13.001815660507418, ""D"": -15.000181360919669}",text_only,quest_default_enable,What is the default behavior of the Quest top-k blocks configuration?
0.901,1269,80,0.374282,A,A,A,True,True,True,-14.9388,-12.9805,1.95833,1.38537,0.848674,"{""A"": -14.93882991868304, ""B"": -16.32419758933247, ""C"": -17.527942828834057, ""D"": -19.539505186490715}","{""A"": -12.980502719030483, ""B"": -13.82917630058364, ""C"": -14.834140967577696, ""D"": -17.06055913446471}",text_only,quest_min_seq_len,Why is Quest gated by a minimum sequence length?
0.901,1278,80,0.363693,B,B,B,True,True,True,-15.8089,-13.7078,2.10111,0.63258,3.27641,"{""A"": -16.65017525688745, ""B"": -15.808935977693181, ""C"": -21.2334637416061, ""D"": -16.441515783779323}","{""A"": -16.984239466954023, ""B"": -13.70782515310566, ""C"": -19.17345027954434, ""D"": -17.777074684621766}",text_only,phase2_magic_number,What phrase does the minimal needle-in-haystack evaluation insert?
0.901,1277,80,0.365864,A,A,A,True,True,True,-14.712,-15.3981,-0.686112,1.81889,2.28973,"{""A"": -14.711976907798089, ""B"": -16.53086897562025, ""C"": -17.948314661276527, ""D"": -22.660430025774986}","{""A"": -15.398088568414096, ""B"": -17.970390244445298, ""C"": -17.687819512560964, ""D"": -21.675792440539226}",text_only,prefix_cache_bug,What bug affected the first needle evaluation results?
0.901,1266,80,0.369489,B,A,B,True,False,False,-15.1276,-14.5672,0.560452,0.25,0,"{""A"": -15.377631263341755, ""B"": -15.127631263341755, ""C"": -19.524332038519788, ""D"": -24.464324877539184}","{""A"": -14.567179014906287, ""B"": -14.567179014906287, ""C"": -17.137503379693953, ""D"": -21.22055052407086}",text_only,topk8_quality,What starting point does the document describe as accurate enough in the needle evaluation?
0.901,1267,80,0.361934,B,A,B,True,False,False,-17.0755,-17.5594,-0.483863,0.233699,-0.869007,"{""A"": -17.309247189725284, ""B"": -17.075547827371338, ""C"": -18.81672122143209, ""D"": -20.14775490295142}","{""A"": -16.69040396111086, ""B"": -17.559410783323983, ""C"": -19.35228669596836, ""D"": -20.468951226444915}",text_only,sweet_spot,What serving pattern is described as Quest's sweet spot?
