threshold,prompt_tokens,compressed_heads,bank_build_s,baseline_pred,compact_pred,answer,baseline_correct,compact_correct,agreement,baseline_answer_score,compact_answer_score,answer_score_delta,baseline_margin,compact_margin,baseline_scores,compact_scores,choice_scoring,task_id,question
0.947,1262,15,0.1758,A,A,A,True,True,True,-12.3911,-10.2803,2.11079,6.80929,7.87294,"{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}","{""A"": -10.280270749062765, ""B"": -22.398552641971037, ""C"": -18.153214869555086, ""D"": -19.62837552032579}",text_only,route_phase1,Which method is listed as Phase 1 in the route?
0.947,1264,15,0.0535741,A,A,A,True,True,True,-15.4029,-14.5532,0.849768,4.77104,5.09298,"{""A"": -15.402930839860346, ""B"": -20.173967789472954, ""C"": -20.363294799346477, ""D"": -24.459885722055333}","{""A"": -14.553162662592513, ""B"": -20.943233882491768, ""C"": -19.646142327343114, ""D"": -22.894715947652003}",text_only,route_phase2,Which item is listed as Phase 2 in the route?
0.947,1265,15,0.0539808,A,A,A,True,True,True,-16.6898,-14.7932,1.89663,1.31968,0.581656,"{""A"": -16.68983697553631, ""B"": -18.009518101171125, ""C"": -20.990105989309086, ""D"": -22.663113873451948}","{""A"": -14.793211350915954, ""B"": -15.374867577716941, ""C"": -20.57684373261509, ""D"": -21.73182825744152}",text_only,route_phase3,Which method is listed as Phase 3 in the route?
0.947,1257,15,0.0534524,A,A,A,True,True,True,-12.7524,-12.0838,0.668679,5.57247,6.11495,"{""A"": -12.752443125471473, ""B"": -18.324914421886206, ""C"": -25.615864077582955, ""D"": -21.615622255951166}","{""A"": -12.083764266688377, ""B"": -18.198718808591366, ""C"": -22.96399685367942, ""D"": -20.81772809009999}",text_only,long_context_bottleneck,What bottleneck is highlighted for long-context decode?
0.947,1258,15,0.0533615,A,A,A,True,True,True,-15.4685,-16.9137,-1.44519,2.53602,0.710145,"{""A"": -15.468533321516588, ""B"": -26.437658164650202, ""C"": -18.00455755367875, ""D"": -22.665814893320203}","{""A"": -16.91372148739174, ""B"": -25.881085261702538, ""C"": -17.62386693060398, ""D"": -22.07009180355817}",text_only,quest_decode_selection,"During decode, what does Quest select?"
0.947,1265,15,0.0531662,A,A,A,True,True,True,-15.4863,-14.8823,0.604033,2.33835,2.23622,"{""A"": -15.486311435553944, ""B"": -19.083688730723225, ""C"": -30.420527301728725, ""D"": -17.824661377700977}","{""A"": -14.882278933451744, ""B"": -18.777264334028587, ""C"": -29.786900267004967, ""D"": -17.118503380566835}",text_only,quest_summary_form,What summary form does the Quest design choose for each KV block?
0.947,1261,15,0.0525165,A,A,A,True,True,True,-13.9754,-12.4979,1.47745,2.42178,2.57564,"{""A"": -13.97538874228485, ""B"": -16.3971646921309, ""C"": -17.77355841640383, ""D"": -18.40202853221831}","{""A"": -12.497938867658377, ""B"": -15.073578800756877, ""C"": -15.825308942236006, ""D"": -16.713985991596246}",text_only,quest_dtype,What dtype choice is listed for Quest summaries?
0.947,1272,15,0.0526274,A,A,A,True,True,True,-13.7068,-12.7754,0.931373,1.93063,1.32812,"{""A"": -13.706773097877885, ""B"": -15.637404022418195, ""C"": -18.50554686426767, ""D"": -17.00593475092319}","{""A"": -12.7754002488291, ""B"": -14.10352023501764, ""C"": -15.833089916966856, ""D"": -16.638890890004404}",text_only,quest_default_enable,What is the default behavior of the Quest top-k blocks configuration?
0.947,1269,15,0.0528712,A,A,A,True,True,True,-14.9388,-14.3522,0.586584,1.38537,1.62141,"{""A"": -14.93882991868304, ""B"": -16.32419758933247, ""C"": -17.527942828834057, ""D"": -19.539505186490715}","{""A"": -14.352245757298078, ""B"": -15.973657999827992, ""C"": -17.343496054410934, ""D"": -19.55913441069424}",text_only,quest_min_seq_len,Why is Quest gated by a minimum sequence length?
0.947,1278,15,0.052144,B,B,B,True,True,True,-15.8089,-14.7814,1.02753,0.63258,1.47606,"{""A"": -16.65017525688745, ""B"": -15.808935977693181, ""C"": -21.2334637416061, ""D"": -16.441515783779323}","{""A"": -16.257460506865755, ""B"": -14.781401951564476, ""C"": -20.446306769299554, ""D"": -16.98658872244414}",text_only,phase2_magic_number,What phrase does the minimal needle-in-haystack evaluation insert?
0.947,1277,15,0.0523556,A,A,A,True,True,True,-14.712,-15.2364,-0.524458,1.81889,1.12182,"{""A"": -14.711976907798089, ""B"": -16.53086897562025, ""C"": -17.948314661276527, ""D"": -22.660430025774986}","{""A"": -15.236434777107206, ""B"": -16.888776553649222, ""C"": -16.358251466299407, ""D"": -21.93114359397441}",text_only,prefix_cache_bug,What bug affected the first needle evaluation results?
0.947,1266,15,0.053907,B,A,B,True,False,False,-15.1276,-15.7469,-0.619229,0.25,0,"{""A"": -15.377631263341755, ""B"": -15.127631263341755, ""C"": -19.524332038519788, ""D"": -24.464324877539184}","{""A"": -15.74686060519889, ""B"": -15.74686060519889, ""C"": -18.812487407776644, ""D"": -22.66729731496889}",text_only,topk8_quality,What starting point does the document describe as accurate enough in the needle evaluation?
0.947,1267,15,0.0539695,B,B,B,True,True,True,-17.0755,-17.0292,0.0463208,0.233699,0.783992,"{""A"": -17.309247189725284, ""B"": -17.075547827371338, ""C"": -18.81672122143209, ""D"": -20.14775490295142}","{""A"": -17.813219094765373, ""B"": -17.029226977891085, ""C"": -19.14000817388296, ""D"": -19.37644500937313}",text_only,sweet_spot,What serving pattern is described as Quest's sweet spot?
