threshold,prompt_tokens,compressed_heads,bank_build_s,baseline_pred,compact_pred,answer,baseline_correct,compact_correct,agreement,baseline_answer_score,compact_answer_score,answer_score_delta,baseline_margin,compact_margin,baseline_scores,compact_scores,choice_scoring,task_id,question,default_compressed_heads,adaptive_dropped_heads,effective_entry_saving_fraction
0.901,1262,80,0.440793,A,A,A,True,True,True,-12.3911,-9.43222,2.95884,6.80929,8.95295,"{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}","{""A"": -9.432218849193305, ""B"": -22.92489475943148, ""C"": -18.385167612694204, ""D"": -19.92412790833623}",text_only,route_phase1,Which method is listed as Phase 1 in the route?,80,0,0.177455
0.901,1264,80,0.283208,A,A,A,True,True,True,-15.4029,-14.4419,0.961068,4.77104,3.81088,"{""A"": -15.402930839860346, ""B"": -20.173967789472954, ""C"": -20.363294799346477, ""D"": -24.459885722055333}","{""A"": -14.441862437874079, ""B"": -20.002300445228684, ""C"": -18.252742331009358, ""D"": -22.689090037194546}",text_only,route_phase2,Which item is listed as Phase 2 in the route?,80,0,0.177455
0.901,1265,79,0.277928,A,A,A,True,True,True,-16.6898,-15.6995,0.99036,1.31968,0.350349,"{""A"": -16.68983697553631, ""B"": -18.009518101171125, ""C"": -20.990105989309086, ""D"": -22.663113873451948}","{""A"": -15.6994769112207, ""B"": -16.04982570715947, ""C"": -20.905813668265182, ""D"": -20.946709856390953}",text_only,route_phase3,Which method is listed as Phase 3 in the route?,80,1,0.176339
0.901,1257,80,0.282384,A,A,A,True,True,True,-12.7524,-12.9678,-0.215319,5.57247,6.50776,"{""A"": -12.752443125471473, ""B"": -18.324914421886206, ""C"": -25.615864077582955, ""D"": -21.615622255951166}","{""A"": -12.96776250563562, ""B"": -19.47551790624857, ""C"": -26.165969476103783, ""D"": -20.624763282947242}",text_only,long_context_bottleneck,What bottleneck is highlighted for long-context decode?,80,0,0.177455
0.901,1258,79,0.279063,A,A,A,True,True,True,-15.4685,-18.3727,-2.90417,2.53602,0.034438,"{""A"": -15.468533321516588, ""B"": -26.437658164650202, ""C"": -18.00455755367875, ""D"": -22.665814893320203}","{""A"": -18.372700817883015, ""B"": -27.37847888469696, ""C"": -18.407138854265213, ""D"": -22.13336604088545}",text_only,quest_decode_selection,"During decode, what does Quest select?",80,1,0.176339
0.901,1265,80,0.278586,A,A,A,True,True,True,-15.4863,-13.2315,2.25485,2.33835,2.65771,"{""A"": -15.486311435553944, ""B"": -19.083688730723225, ""C"": -30.420527301728725, ""D"": -17.824661377700977}","{""A"": -13.231464261480141, ""B"": -19.460641227662563, ""C"": -28.5843649902381, ""D"": -15.88917289674282}",text_only,quest_summary_form,What summary form does the Quest design choose for each KV block?,80,0,0.177455
0.901,1261,80,0.277729,A,A,A,True,True,True,-13.9754,-12.8844,1.09103,2.42178,1.90168,"{""A"": -13.97538874228485, ""B"": -16.3971646921309, ""C"": -17.77355841640383, ""D"": -18.40202853221831}","{""A"": -12.884356673806906, ""B"": -14.786036987760781, ""C"": -16.040346910245717, ""D"": -16.45206140654011}",text_only,quest_dtype,What dtype choice is listed for Quest summaries?,80,0,0.177455
0.901,1272,80,0.276817,A,A,A,True,True,True,-13.7068,-11.3973,2.30948,1.93063,2.48753,"{""A"": -13.706773097877885, ""B"": -15.637404022418195, ""C"": -18.50554686426767, ""D"": -17.00593475092319}","{""A"": -11.397293851725408, ""B"": -14.136382494529244, ""C"": -13.884823229396716, ""D"": -15.740058628249244}",text_only,quest_default_enable,What is the default behavior of the Quest top-k blocks configuration?,80,0,0.177455
0.901,1269,80,0.276484,A,A,A,True,True,True,-14.9388,-13.4793,1.45958,1.38537,0.71896,"{""A"": -14.93882991868304, ""B"": -16.32419758933247, ""C"": -17.527942828834057, ""D"": -19.539505186490715}","{""A"": -13.479252263728995, ""B"": -14.198212167277234, ""C"": -15.605627790093422, ""D"": -17.80700733163394}",text_only,quest_min_seq_len,Why is Quest gated by a minimum sequence length?,80,0,0.177455
0.901,1278,80,0.276945,B,B,B,True,True,True,-15.8089,-14.2228,1.58609,0.63258,2.81567,"{""A"": -16.65017525688745, ""B"": -15.808935977693181, ""C"": -21.2334637416061, ""D"": -16.441515783779323}","{""A"": -17.038515910040587, ""B"": -14.222849306708667, ""C"": -19.225931740744272, ""D"": -17.749926956603304}",text_only,phase2_magic_number,What phrase does the minimal needle-in-haystack evaluation insert?,80,0,0.177455
0.901,1277,80,0.278905,A,A,A,True,True,True,-14.712,-16.0782,-1.3662,1.81889,1.6862,"{""A"": -14.711976907798089, ""B"": -16.53086897562025, ""C"": -17.948314661276527, ""D"": -22.660430025774986}","{""A"": -16.07817842834629, ""B"": -17.764374914957443, ""C"": -17.79380811820738, ""D"": -21.16768356761895}",text_only,prefix_cache_bug,What bug affected the first needle evaluation results?,80,0,0.177455
0.901,1266,79,0.277057,B,B,B,True,True,True,-15.1276,-15.2085,-0.0808323,0.25,0.125,"{""A"": -15.377631263341755, ""B"": -15.127631263341755, ""C"": -19.524332038519788, ""D"": -24.464324877539184}","{""A"": -15.333463575690985, ""B"": -15.208463575690985, ""C"": -17.750584108172916, ""D"": -21.542134825023822}",text_only,topk8_quality,What starting point does the document describe as accurate enough in the needle evaluation?,80,1,0.176339
0.901,1267,79,0.274848,B,B,B,True,True,True,-17.0755,-17.3833,-0.307716,0.233699,0.0320492,"{""A"": -17.309247189725284, ""B"": -17.075547827371338, ""C"": -18.81672122143209, ""D"": -20.14775490295142}","{""A"": -17.41531275078887, ""B"": -17.38326357506594, ""C"": -19.03072805982083, ""D"": -20.603916470427066}",text_only,sweet_spot,What serving pattern is described as Quest's sweet spot?,80,1,0.176339
