threshold,prompt_tokens,compressed_heads,bank_build_s,baseline_pred,compact_pred,answer,baseline_correct,compact_correct,agreement,baseline_answer_score,compact_answer_score,answer_score_delta,baseline_margin,compact_margin,baseline_scores,compact_scores,choice_scoring,task_id,question
0.948,1262,15,0.166131,A,A,A,True,True,True,-12.3911,-10.7611,1.62994,6.80929,7.65588,"{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}","{""A"": -10.761118768743472, ""B"": -23.081681724637747, ""C"": -18.41700278269127, ""D"": -19.83693528938602}",text_only,route_phase1,Which method is listed as Phase 1 in the route?
0.948,1264,15,0.0533987,A,A,A,True,True,True,-15.4029,-14.1719,1.23103,4.77104,4.99891,"{""A"": -15.402930839860346, ""B"": -20.173967789472954, ""C"": -20.363294799346477, ""D"": -24.459885722055333}","{""A"": -14.171903453687264, ""B"": -20.470213165606765, ""C"": -19.17081371479435, ""D"": -22.77841284198803}",text_only,route_phase2,Which item is listed as Phase 2 in the route?
0.948,1265,15,0.0535217,A,B,A,True,False,False,-16.6898,-15.0621,1.62777,1.31968,-0.564206,"{""A"": -16.68983697553631, ""B"": -18.009518101171125, ""C"": -20.990105989309086, ""D"": -22.663113873451948}","{""A"": -15.062066301004961, ""B"": -14.497859837836586, ""C"": -20.587608193905908, ""D"": -21.943581998348236}",text_only,route_phase3,Which method is listed as Phase 3 in the route?
0.948,1257,15,0.0544309,A,A,A,True,True,True,-12.7524,-12.517,0.235478,5.57247,6.26453,"{""A"": -12.752443125471473, ""B"": -18.324914421886206, ""C"": -25.615864077582955, ""D"": -21.615622255951166}","{""A"": -12.516965474933386, ""B"": -18.78149812668562, ""C"": -23.90990288555622, ""D"": -21.25228262413293}",text_only,long_context_bottleneck,What bottleneck is highlighted for long-context decode?
0.948,1258,15,0.0536553,A,A,A,True,True,True,-15.4685,-16.8652,-1.39669,2.53602,0.641124,"{""A"": -15.468533321516588, ""B"": -26.437658164650202, ""C"": -18.00455755367875, ""D"": -22.665814893320203}","{""A"": -16.86522045917809, ""B"": -26.257140427827835, ""C"": -17.506343990564346, ""D"": -22.010721147060394}",text_only,quest_decode_selection,"During decode, what does Quest select?"
0.948,1265,15,0.0532197,A,A,A,True,True,True,-15.4863,-15.0969,0.389412,2.33835,2.31558,"{""A"": -15.486311435553944, ""B"": -19.083688730723225, ""C"": -30.420527301728725, ""D"": -17.824661377700977}","{""A"": -15.096899224678054, ""B"": -18.738383900665212, ""C"": -29.532093417830765, ""D"": -17.412483487278223}",text_only,quest_summary_form,What summary form does the Quest design choose for each KV block?
0.948,1261,15,0.0538007,A,A,A,True,True,True,-13.9754,-13.0246,0.950775,2.42178,2.32941,"{""A"": -13.97538874228485, ""B"": -16.3971646921309, ""C"": -17.77355841640383, ""D"": -18.40202853221831}","{""A"": -13.024613864719868, ""B"": -15.354027351107561, ""C"": -15.855489884037524, ""D"": -16.868561069326688}",text_only,quest_dtype,What dtype choice is listed for Quest summaries?
0.948,1272,15,0.0526884,A,A,A,True,True,True,-13.7068,-12.5648,1.14197,1.93063,1.58062,"{""A"": -13.706773097877885, ""B"": -15.637404022418195, ""C"": -18.50554686426767, ""D"": -17.00593475092319}","{""A"": -12.564806513524672, ""B"": -14.145421710520168, ""C"": -15.48607956894557, ""D"": -16.79121069436951}",text_only,quest_default_enable,What is the default behavior of the Quest top-k blocks configuration?
0.948,1269,15,0.0543862,A,A,A,True,True,True,-14.9388,-14.7479,0.190917,1.38537,1.53067,"{""A"": -14.93882991868304, ""B"": -16.32419758933247, ""C"": -17.527942828834057, ""D"": -19.539505186490715}","{""A"": -14.747912661609007, ""B"": -16.278584241794306, ""C"": -17.52738757431507, ""D"": -19.86451469035819}",text_only,quest_min_seq_len,Why is Quest gated by a minimum sequence length?
0.948,1278,15,0.0532772,B,B,B,True,True,True,-15.8089,-15.4271,0.381867,0.63258,1.48319,"{""A"": -16.65017525688745, ""B"": -15.808935977693181, ""C"": -21.2334637416061, ""D"": -16.441515783779323}","{""A"": -16.9714953599032, ""B"": -15.427069097582716, ""C"": -20.71803795080632, ""D"": -16.910254865768366}",text_only,phase2_magic_number,What phrase does the minimal needle-in-haystack evaluation insert?
0.948,1277,15,0.0537202,A,A,A,True,True,True,-14.712,-15.0683,-0.356367,1.81889,1.63135,"{""A"": -14.711976907798089, ""B"": -16.53086897562025, ""C"": -17.948314661276527, ""D"": -22.660430025774986}","{""A"": -15.068344110957696, ""B"": -16.822912916730274, ""C"": -16.699698288924992, ""D"": -21.6748462326359}",text_only,prefix_cache_bug,What bug affected the first needle evaluation results?
0.948,1266,15,0.0534394,B,A,B,True,False,False,-15.1276,-15.4634,-0.335742,0.25,0,"{""A"": -15.377631263341755, ""B"": -15.127631263341755, ""C"": -19.524332038519788, ""D"": -24.464324877539184}","{""A"": -15.4633728871122, ""B"": -15.4633728871122, ""C"": -18.749756536228233, ""D"": -22.746664144622628}",text_only,topk8_quality,What starting point does the document describe as accurate enough in the needle evaluation?
0.948,1267,15,0.0547265,B,B,B,True,True,True,-17.0755,-17.2162,-0.140608,0.233699,0.768717,"{""A"": -17.309247189725284, ""B"": -17.075547827371338, ""C"": -18.81672122143209, ""D"": -20.14775490295142}","{""A"": -17.984872781671584, ""B"": -17.21615576109616, ""C"": -19.2877744063735, ""D"": -19.752098885830492}",text_only,sweet_spot,What serving pattern is described as Quest's sweet spot?
