threshold,prompt_tokens,compressed_heads,bank_build_s,baseline_pred,compact_pred,answer,baseline_correct,compact_correct,agreement,baseline_answer_score,compact_answer_score,answer_score_delta,baseline_margin,compact_margin,baseline_scores,compact_scores,choice_scoring,task_id,question
0.901,1262,69,0.52796,A,A,A,True,True,True,-12.3911,-9.82406,2.567,6.80929,7.80564,"{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}","{""A"": -9.824062203522772, ""B"": -21.237007018295117, ""C"": -17.62969926185906, ""D"": -19.063687284960906}",text_only,route_phase1,Which method is listed as Phase 1 in the route?
0.901,1264,69,0.373403,A,A,A,True,True,True,-15.4029,-14.0877,1.31524,4.77104,4.60846,"{""A"": -15.402930839860346, ""B"": -20.173967789472954, ""C"": -20.363294799346477, ""D"": -24.459885722055333}","{""A"": -14.087695776252076, ""B"": -20.244641237563428, ""C"": -18.6961508745444, ""D"": -22.42541178659303}",text_only,route_phase2,Which item is listed as Phase 2 in the route?
0.901,1265,69,0.377956,A,A,A,True,True,True,-16.6898,-16.1601,0.529696,1.31968,1.19863,"{""A"": -16.68983697553631, ""B"": -18.009518101171125, ""C"": -20.990105989309086, ""D"": -22.663113873451948}","{""A"": -16.160140679683536, ""B"": -17.358769740589196, ""C"": -19.96976845219615, ""D"": -20.337227500975132}",text_only,route_phase3,Which method is listed as Phase 3 in the route?
0.901,1257,69,0.366654,A,A,A,True,True,True,-12.7524,-14.434,-1.6816,5.57247,4.69075,"{""A"": -12.752443125471473, ""B"": -18.324914421886206, ""C"": -25.615864077582955, ""D"": -21.615622255951166}","{""A"": -14.434039225801826, ""B"": -19.124793648719788, ""C"": -26.777368016541004, ""D"": -20.72636864427477}",text_only,long_context_bottleneck,What bottleneck is highlighted for long-context decode?
0.901,1258,69,0.313483,A,A,A,True,True,True,-15.4685,-17.9093,-2.44075,2.53602,0.703225,"{""A"": -15.468533321516588, ""B"": -26.437658164650202, ""C"": -18.00455755367875, ""D"": -22.665814893320203}","{""A"": -17.90928177535534, ""B"": -28.434000924229622, ""C"": -18.612506359815598, ""D"": -22.10560116916895}",text_only,quest_decode_selection,"During decode, what does Quest select?"
0.901,1265,69,0.312207,A,A,A,True,True,True,-15.4863,-15.15,0.336288,2.33835,1.14024,"{""A"": -15.486311435553944, ""B"": -19.083688730723225, ""C"": -30.420527301728725, ""D"": -17.824661377700977}","{""A"": -15.150023901340319, ""B"": -19.967459083534777, ""C"": -28.950202745152637, ""D"": -16.290263324975967}",text_only,quest_summary_form,What summary form does the Quest design choose for each KV block?
0.901,1261,69,0.309539,A,A,A,True,True,True,-13.9754,-13.8201,0.155248,2.42178,2.01665,"{""A"": -13.97538874228485, ""B"": -16.3971646921309, ""C"": -17.77355841640383, ""D"": -18.40202853221831}","{""A"": -13.820140685886145, ""B"": -15.836787503659707, ""C"": -17.214302018284798, ""D"": -17.515721159696}",text_only,quest_dtype,What dtype choice is listed for Quest summaries?
0.901,1272,69,0.31604,A,A,A,True,True,True,-13.7068,-12.5769,1.12988,1.93063,2.5752,"{""A"": -13.706773097877885, ""B"": -15.637404022418195, ""C"": -18.50554686426767, ""D"": -17.00593475092319}","{""A"": -12.576894073441508, ""B"": -15.311645748559386, ""C"": -15.152096427744254, ""D"": -17.631091886440117}",text_only,quest_default_enable,What is the default behavior of the Quest top-k blocks configuration?
0.901,1269,69,0.316618,A,A,A,True,True,True,-14.9388,-15.5919,-0.653047,1.38537,1.034,"{""A"": -14.93882991868304, ""B"": -16.32419758933247, ""C"": -17.527942828834057, ""D"": -19.539505186490715}","{""A"": -15.591877103492152, ""B"": -16.625877117709024, ""C"": -17.83545972406864, ""D"": -20.57374424743466}",text_only,quest_min_seq_len,Why is Quest gated by a minimum sequence length?
0.901,1278,69,0.308856,B,B,B,True,True,True,-15.8089,-13.8152,1.99375,0.63258,1.85194,"{""A"": -16.65017525688745, ""B"": -15.808935977693181, ""C"": -21.2334637416061, ""D"": -16.441515783779323}","{""A"": -15.667125848354772, ""B"": -13.81518801333732, ""C"": -19.289528696426714, ""D"": -17.168375581735745}",text_only,phase2_magic_number,What phrase does the minimal needle-in-haystack evaluation insert?
0.901,1277,69,0.317628,A,A,A,True,True,True,-14.712,-16.1703,-1.45832,1.81889,0.45786,"{""A"": -14.711976907798089, ""B"": -16.53086897562025, ""C"": -17.948314661276527, ""D"": -22.660430025774986}","{""A"": -16.170299824269023, ""B"": -16.628159625222906, ""C"": -17.304565713275224, ""D"": -22.542346940143034}",text_only,prefix_cache_bug,What bug affected the first needle evaluation results?
0.901,1266,69,0.313154,B,B,B,True,True,True,-15.1276,-16.1157,-0.988071,0.25,0.125,"{""A"": -15.377631263341755, ""B"": -15.127631263341755, ""C"": -19.524332038519788, ""D"": -24.464324877539184}","{""A"": -16.24070272874087, ""B"": -16.11570272874087, ""C"": -18.246617712820807, ""D"": -21.756649242714047}",text_only,topk8_quality,What starting point does the document describe as accurate enough in the needle evaluation?
0.901,1267,69,0.306962,B,B,B,True,True,True,-17.0755,-17.4201,-0.344546,0.233699,0.17819,"{""A"": -17.309247189725284, ""B"": -17.075547827371338, ""C"": -18.81672122143209, ""D"": -20.14775490295142}","{""A"": -17.598283621075097, ""B"": -17.420093867141986, ""C"": -19.0832797922194, ""D"": -19.93679303326644}",text_only,sweet_spot,What serving pattern is described as Quest's sweet spot?
