threshold,prompt_tokens,compressed_heads,bank_build_s,baseline_pred,compact_pred,answer,baseline_correct,compact_correct,agreement,baseline_answer_score,compact_answer_score,answer_score_delta,baseline_margin,compact_margin,baseline_scores,compact_scores,choice_scoring,task_id,question
0.946,1262,15,0.172115,A,A,A,True,True,True,-12.3911,-10.1605,2.23059,6.80929,7.93336,"{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}","{""A"": -10.16046965829446, ""B"": -22.45059891580604, ""C"": -18.093831080477685, ""D"": -19.452422035788913}",text_only,route_phase1,Which method is listed as Phase 1 in the route?
0.946,1264,15,0.0539834,A,A,A,True,True,True,-15.4029,-14.3556,1.04729,4.77104,5.10046,"{""A"": -15.402930839860346, ""B"": -20.173967789472954, ""C"": -20.363294799346477, ""D"": -24.459885722055333}","{""A"": -14.355643900624273, ""B"": -20.62870826438302, ""C"": -19.456103337404784, ""D"": -22.77509072580142}",text_only,route_phase2,Which item is listed as Phase 2 in the route?
0.946,1265,15,0.0542861,A,A,A,True,True,True,-16.6898,-14.7271,1.96277,1.31968,0.679779,"{""A"": -16.68983697553631, ""B"": -18.009518101171125, ""C"": -20.990105989309086, ""D"": -22.663113873451948}","{""A"": -14.727069771965034, ""B"": -15.406848391037784, ""C"": -20.438101703977736, ""D"": -21.59246350079775}",text_only,route_phase3,Which method is listed as Phase 3 in the route?
0.946,1257,15,0.0541261,A,A,A,True,True,True,-12.7524,-11.8439,0.908545,5.57247,6.31403,"{""A"": -12.752443125471473, ""B"": -18.324914421886206, ""C"": -25.615864077582955, ""D"": -21.615622255951166}","{""A"": -11.8438985850662, ""B"": -18.15792440250516, ""C"": -23.421073362231255, ""D"": -20.76909072045237}",text_only,long_context_bottleneck,What bottleneck is highlighted for long-context decode?
0.946,1258,15,0.0542987,A,A,A,True,True,True,-15.4685,-16.8955,-1.42692,2.53602,0.836709,"{""A"": -15.468533321516588, ""B"": -26.437658164650202, ""C"": -18.00455755367875, ""D"": -22.665814893320203}","{""A"": -16.895454727113247, ""B"": -25.977230966091156, ""C"": -17.732163950800896, ""D"": -22.050746889784932}",text_only,quest_decode_selection,"During decode, what does Quest select?"
0.946,1265,15,0.053312,A,A,A,True,True,True,-15.4863,-14.4856,1.00073,2.33835,2.49385,"{""A"": -15.486311435553944, ""B"": -19.083688730723225, ""C"": -30.420527301728725, ""D"": -17.824661377700977}","{""A"": -14.485577841027407, ""B"": -18.511592407885473, ""C"": -29.638047793414444, ""D"": -16.9794242978096}",text_only,quest_summary_form,What summary form does the Quest design choose for each KV block?
0.946,1261,15,0.0541973,A,A,A,True,True,True,-13.9754,-12.526,1.44941,2.42178,2.46852,"{""A"": -13.97538874228485, ""B"": -16.3971646921309, ""C"": -17.77355841640383, ""D"": -18.40202853221831}","{""A"": -12.525981048122048, ""B"": -14.994496659355718, ""C"": -15.87145303376019, ""D"": -16.75761038311407}",text_only,quest_dtype,What dtype choice is listed for Quest summaries?
0.946,1272,15,0.0530622,A,A,A,True,True,True,-13.7068,-12.4775,1.22927,1.93063,1.51894,"{""A"": -13.706773097877885, ""B"": -15.637404022418195, ""C"": -18.50554686426767, ""D"": -17.00593475092319}","{""A"": -12.477505440783716, ""B"": -13.99644745662954, ""C"": -15.462018738122424, ""D"": -16.517666606087005}",text_only,quest_default_enable,What is the default behavior of the Quest top-k blocks configuration?
0.946,1269,15,0.0532019,A,A,A,True,True,True,-14.9388,-14.1356,0.803237,1.38537,1.64943,"{""A"": -14.93882991868304, ""B"": -16.32419758933247, ""C"": -17.527942828834057, ""D"": -19.539505186490715}","{""A"": -14.135593025639537, ""B"": -15.785019398354052, ""C"": -16.908772818744183, ""D"": -19.30714759323746}",text_only,quest_min_seq_len,Why is Quest gated by a minimum sequence length?
0.946,1278,15,0.0533268,B,B,B,True,True,True,-15.8089,-14.783,1.02598,0.63258,1.41318,"{""A"": -16.65017525688745, ""B"": -15.808935977693181, ""C"": -21.2334637416061, ""D"": -16.441515783779323}","{""A"": -16.19613561918959, ""B"": -14.782952436537016, ""C"": -20.45575694127183, ""D"": -16.969320052536204}",text_only,phase2_magic_number,What phrase does the minimal needle-in-haystack evaluation insert?
0.946,1277,15,0.0535521,A,A,A,True,True,True,-14.712,-14.947,-0.234983,1.81889,1.33757,"{""A"": -14.711976907798089, ""B"": -16.53086897562025, ""C"": -17.948314661276527, ""D"": -22.660430025774986}","{""A"": -14.946959676541155, ""B"": -16.463540571465273, ""C"": -16.28452947875485, ""D"": -21.48932169470936}",text_only,prefix_cache_bug,What bug affected the first needle evaluation results?
0.946,1266,15,0.0543494,B,A,B,True,False,False,-15.1276,-15.3601,-0.232493,0.25,0,"{""A"": -15.377631263341755, ""B"": -15.127631263341755, ""C"": -19.524332038519788, ""D"": -24.464324877539184}","{""A"": -15.360124556813389, ""B"": -15.360124556813389, ""C"": -18.52019643814856, ""D"": -22.711355009116232}",text_only,topk8_quality,What starting point does the document describe as accurate enough in the needle evaluation?
0.946,1267,15,0.0536376,B,B,B,True,True,True,-17.0755,-17.0825,-0.00692608,0.233699,0.575903,"{""A"": -17.309247189725284, ""B"": -17.075547827371338, ""C"": -18.81672122143209, ""D"": -20.14775490295142}","{""A"": -17.658376835170202, ""B"": -17.082473906040832, ""C"": -19.15489686280489, ""D"": -19.252782117109746}",text_only,sweet_spot,What serving pattern is described as Quest's sweet spot?
