threshold,prompt_tokens,compressed_heads,bank_build_s,baseline_pred,compact_pred,answer,baseline_correct,compact_correct,agreement,baseline_answer_score,compact_answer_score,answer_score_delta,baseline_margin,compact_margin,baseline_scores,compact_scores,choice_scoring,task_id,question
0.901,1262,66,0.494025,A,A,A,True,True,True,-12.3911,-9.55024,2.84082,6.80929,8.14176,"{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}","{""A"": -9.550239103729837, ""B"": -22.08709765295498, ""C"": -17.69200233789161, ""D"": -19.253559717708413}",text_only,route_phase1,Which method is listed as Phase 1 in the route?
0.901,1264,66,0.363849,A,A,A,True,True,True,-15.4029,-14.1415,1.26138,4.77104,4.66221,"{""A"": -15.402930839860346, ""B"": -20.173967789472954, ""C"": -20.363294799346477, ""D"": -24.459885722055333}","{""A"": -14.141546319704503, ""B"": -20.41660128438707, ""C"": -18.803752883919515, ""D"": -22.938945985457394}",text_only,route_phase2,Which item is listed as Phase 2 in the route?
0.901,1265,66,0.412617,A,A,A,True,True,True,-16.6898,-16.3034,0.386455,1.31968,1.01159,"{""A"": -16.68983697553631, ""B"": -18.009518101171125, ""C"": -20.990105989309086, ""D"": -22.663113873451948}","{""A"": -16.30338247399777, ""B"": -17.314977291069226, ""C"": -20.26860881590983, ""D"": -20.47068201750517}",text_only,route_phase3,Which method is listed as Phase 3 in the route?
0.901,1257,66,0.354961,A,A,A,True,True,True,-12.7524,-14.0867,-1.33423,5.57247,5.18055,"{""A"": -12.752443125471473, ""B"": -18.324914421886206, ""C"": -25.615864077582955, ""D"": -21.615622255951166}","{""A"": -14.086677115410566, ""B"": -19.267224743962288, ""C"": -25.767341144382954, ""D"": -20.836965364869684}",text_only,long_context_bottleneck,What bottleneck is highlighted for long-context decode?
0.901,1258,66,0.296569,A,A,A,True,True,True,-15.4685,-17.5116,-2.04302,2.53602,1.23751,"{""A"": -15.468533321516588, ""B"": -26.437658164650202, ""C"": -18.00455755367875, ""D"": -22.665814893320203}","{""A"": -17.511553719639778, ""B"": -27.41936556994915, ""C"": -18.749067291617393, ""D"": -22.196698049083352}",text_only,quest_decode_selection,"During decode, what does Quest select?"
0.901,1265,66,0.3023,A,A,A,True,True,True,-15.4863,-14.9233,0.563048,2.33835,1.32658,"{""A"": -15.486311435553944, ""B"": -19.083688730723225, ""C"": -30.420527301728725, ""D"": -17.824661377700977}","{""A"": -14.923263460659655, ""B"": -19.880891165230423, ""C"": -28.853815930779092, ""D"": -16.249840565025806}",text_only,quest_summary_form,What summary form does the Quest design choose for each KV block?
0.901,1261,66,0.297135,A,A,A,True,True,True,-13.9754,-13.9322,0.0432185,2.42178,1.8339,"{""A"": -13.97538874228485, ""B"": -16.3971646921309, ""C"": -17.77355841640383, ""D"": -18.40202853221831}","{""A"": -13.932170271873474, ""B"": -15.766072879530839, ""C"": -17.26885101851076, ""D"": -17.818914961694645}",text_only,quest_dtype,What dtype choice is listed for Quest summaries?
0.901,1272,66,0.297259,A,A,A,True,True,True,-13.7068,-11.9735,1.73332,1.93063,2.6502,"{""A"": -13.706773097877885, ""B"": -15.637404022418195, ""C"": -18.50554686426767, ""D"": -17.00593475092319}","{""A"": -11.973456556064775, ""B"": -14.72515633321018, ""C"": -14.623658011900261, ""D"": -17.005084286014608}",text_only,quest_default_enable,What is the default behavior of the Quest top-k blocks configuration?
0.901,1269,66,0.305763,A,A,A,True,True,True,-14.9388,-15.2823,-0.343456,1.38537,1.07749,"{""A"": -14.93882991868304, ""B"": -16.32419758933247, ""C"": -17.527942828834057, ""D"": -19.539505186490715}","{""A"": -15.282286270172335, ""B"": -16.359778103389544, ""C"": -17.61735762655735, ""D"": -20.350048057967797}",text_only,quest_min_seq_len,Why is Quest gated by a minimum sequence length?
0.901,1278,66,0.294784,B,B,B,True,True,True,-15.8089,-13.8281,1.98085,0.63258,2.46817,"{""A"": -16.65017525688745, ""B"": -15.808935977693181, ""C"": -21.2334637416061, ""D"": -16.441515783779323}","{""A"": -16.296264309436083, ""B"": -13.828089858929161, ""C"": -19.79472726224776, ""D"": -17.85608275019331}",text_only,phase2_magic_number,What phrase does the minimal needle-in-haystack evaluation insert?
0.901,1277,66,0.314533,A,A,A,True,True,True,-14.712,-15.4811,-0.769158,1.81889,1.15784,"{""A"": -14.711976907798089, ""B"": -16.53086897562025, ""C"": -17.948314661276527, ""D"": -22.660430025774986}","{""A"": -15.481134567409754, ""B"": -16.638974204455735, ""C"": -17.164299639640376, ""D"": -22.846476225648075}",text_only,prefix_cache_bug,What bug affected the first needle evaluation results?
0.901,1266,66,0.298888,B,B,B,True,True,True,-15.1276,-15.7185,-0.590857,0.25,0.25,"{""A"": -15.377631263341755, ""B"": -15.127631263341755, ""C"": -19.524332038519788, ""D"": -24.464324877539184}","{""A"": -15.968488184735179, ""B"": -15.718488184735179, ""C"": -18.25439253546574, ""D"": -21.681163797620684}",text_only,topk8_quality,What starting point does the document describe as accurate enough in the needle evaluation?
0.901,1267,66,0.29538,B,B,B,True,True,True,-17.0755,-17.2626,-0.18709,0.233699,0.177411,"{""A"": -17.309247189725284, ""B"": -17.075547827371338, ""C"": -18.81672122143209, ""D"": -20.14775490295142}","{""A"": -17.440049151016865, ""B"": -17.2626377878114, ""C"": -19.06865323521197, ""D"": -20.14053589385003}",text_only,sweet_spot,What serving pattern is described as Quest's sweet spot?
