threshold,prompt_tokens,compressed_heads,bank_build_s,baseline_pred,compact_pred,answer,baseline_correct,compact_correct,agreement,baseline_answer_score,compact_answer_score,answer_score_delta,baseline_margin,compact_margin,baseline_scores,compact_scores,choice_scoring,task_id,question
0.8,1262,64,0.350621,A,D,A,True,False,False,-12.3911,-45.4409,-33.0498,6.80929,-19.2684,"{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}","{""A"": -45.44089677929878, ""B"": -45.888787269592285, ""C"": -37.33902597427368, ""D"": -26.172490417957306}",text_only,route_phase1,Which method is listed as Phase 1 in the route?
0.8,1264,64,0.219168,A,A,A,True,True,True,-15.4029,-29.1062,-13.7033,4.77104,3.81151,"{""A"": -15.402930839860346, ""B"": -20.173967789472954, ""C"": -20.363294799346477, ""D"": -24.459885722055333}","{""A"": -29.106203079223633, ""B"": -45.42477001994848, ""C"": -36.318339347839355, ""D"": -32.91771078109741}",text_only,route_phase2,Which item is listed as Phase 2 in the route?
0.8,1265,64,0.218818,A,C,A,True,False,False,-16.6898,-68.3509,-51.661,1.31968,-30.9555,"{""A"": -16.68983697553631, ""B"": -18.009518101171125, ""C"": -20.990105989309086, ""D"": -22.663113873451948}","{""A"": -68.3508849143982, ""B"": -47.531091928482056, ""C"": -37.395388066768646, ""D"": -47.29555797576904}",text_only,route_phase3,Which method is listed as Phase 3 in the route?
0.8,1257,64,0.224805,A,D,A,True,False,False,-12.7524,-39.2545,-26.5021,5.57247,-1.19071,"{""A"": -12.752443125471473, ""B"": -18.324914421886206, ""C"": -25.615864077582955, ""D"": -21.615622255951166}","{""A"": -39.25452971458435, ""B"": -40.310519218444824, ""C"": -40.380977630615234, ""D"": -38.06381702423096}",text_only,long_context_bottleneck,What bottleneck is highlighted for long-context decode?
0.8,1258,64,0.216334,A,C,A,True,False,False,-15.4685,-53.4708,-38.0023,2.53602,-23.4894,"{""A"": -15.468533321516588, ""B"": -26.437658164650202, ""C"": -18.00455755367875, ""D"": -22.665814893320203}","{""A"": -53.47080063819885, ""B"": -42.719183921813965, ""C"": -29.98139476776123, ""D"": -38.136940002441406}",text_only,quest_decode_selection,"During decode, what does Quest select?"
0.8,1265,64,0.218614,A,D,A,True,False,False,-15.4863,-49.0704,-33.5841,2.33835,-19.8898,"{""A"": -15.486311435553944, ""B"": -19.083688730723225, ""C"": -30.420527301728725, ""D"": -17.824661377700977}","{""A"": -49.070423781871796, ""B"": -38.6792778968811, ""C"": -50.1910457611084, ""D"": -29.180594444274902}",text_only,quest_summary_form,What summary form does the Quest design choose for each KV block?
0.8,1261,64,0.218511,A,C,A,True,False,False,-13.9754,-48.0088,-34.0334,2.42178,-23.1317,"{""A"": -13.97538874228485, ""B"": -16.3971646921309, ""C"": -17.77355841640383, ""D"": -18.40202853221831}","{""A"": -48.00878143310547, ""B"": -34.50507307052612, ""C"": -24.87706458568573, ""D"": -48.214107662439346}",text_only,quest_dtype,What dtype choice is listed for Quest summaries?
0.8,1272,64,0.217628,A,A,A,True,True,True,-13.7068,-28.5257,-14.8189,1.93063,7.5445,"{""A"": -13.706773097877885, ""B"": -15.637404022418195, ""C"": -18.50554686426767, ""D"": -17.00593475092319}","{""A"": -28.52571663632989, ""B"": -36.07022069208324, ""C"": -38.89125883579254, ""D"": -40.720854833722115}",text_only,quest_default_enable,What is the default behavior of the Quest top-k blocks configuration?
0.8,1269,64,0.219149,A,B,A,True,False,False,-14.9388,-45.1439,-30.2051,1.38537,-14.5741,"{""A"": -14.93882991868304, ""B"": -16.32419758933247, ""C"": -17.527942828834057, ""D"": -19.539505186490715}","{""A"": -45.143912091851234, ""B"": -30.569827308878303, ""C"": -43.391608238220215, ""D"": -34.472756803035736}",text_only,quest_min_seq_len,Why is Quest gated by a minimum sequence length?
0.8,1278,64,0.217113,B,B,B,True,True,True,-15.8089,-27.9835,-12.1746,0.63258,4.03299,"{""A"": -16.65017525688745, ""B"": -15.808935977693181, ""C"": -21.2334637416061, ""D"": -16.441515783779323}","{""A"": -39.636278577148914, ""B"": -27.98351988196373, ""C"": -36.438202001620084, ""D"": -32.01651322096586}",text_only,phase2_magic_number,What phrase does the minimal needle-in-haystack evaluation insert?
0.8,1277,64,0.221042,A,C,A,True,False,False,-14.712,-84.8525,-70.1405,1.81889,-47.0441,"{""A"": -14.711976907798089, ""B"": -16.53086897562025, ""C"": -17.948314661276527, ""D"": -22.660430025774986}","{""A"": -84.85252141952515, ""B"": -47.486351668834686, ""C"": -37.808438539505005, ""D"": -42.24020093679428}",text_only,prefix_cache_bug,What bug affected the first needle evaluation results?
0.8,1266,64,0.219225,B,A,B,True,False,False,-15.1276,-30.4698,-15.3421,0.25,-5.6875,"{""A"": -15.377631263341755, ""B"": -15.127631263341755, ""C"": -19.524332038519788, ""D"": -24.464324877539184}","{""A"": -24.782266676425934, ""B"": -30.469766855239868, ""C"": -31.109584271907806, ""D"": -37.7769193649292}",text_only,topk8_quality,What starting point does the document describe as accurate enough in the needle evaluation?
0.8,1267,64,0.218553,B,C,B,True,False,False,-17.0755,-49.1856,-32.11,0.233699,-6.51856,"{""A"": -17.309247189725284, ""B"": -17.075547827371338, ""C"": -18.81672122143209, ""D"": -20.14775490295142}","{""A"": -62.73050909489393, ""B"": -49.185564041137695, ""C"": -42.667001724243164, ""D"": -53.5811882019043}",text_only,sweet_spot,What serving pattern is described as Quest's sweet spot?
