threshold,prompt_tokens,compressed_heads,bank_build_s,baseline_pred,compact_pred,answer,baseline_correct,compact_correct,agreement,baseline_answer_score,compact_answer_score,answer_score_delta,baseline_margin,compact_margin,baseline_scores,compact_scores,choice_scoring,task_id,question,default_compressed_heads,adaptive_dropped_heads,effective_entry_saving_fraction
0.901,1262,80,0.483589,A,A,A,True,True,True,-12.3911,-8.74997,3.6411,6.80929,10.0026,"{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}","{""A"": -8.749968205287587, ""B"": -23.33219347265549, ""C"": -18.752606854308397, ""D"": -20.210701847157907}",text_only,route_phase1,Which method is listed as Phase 1 in the route?,80,0,0.177455
0.901,1264,80,0.367748,A,A,A,True,True,True,-15.4029,-14.1813,1.22162,4.77104,4.11232,"{""A"": -15.402930839860346, ""B"": -20.173967789472954, ""C"": -20.363294799346477, ""D"": -24.459885722055333}","{""A"": -14.181307464838028, ""B"": -20.283357477964273, ""C"": -18.29362800833769, ""D"": -23.010838059068192}",text_only,route_phase2,Which item is listed as Phase 2 in the route?,80,0,0.177455
0.901,1265,79,0.369173,A,A,A,True,True,True,-16.6898,-15.6995,0.99036,1.31968,0.350349,"{""A"": -16.68983697553631, ""B"": -18.009518101171125, ""C"": -20.990105989309086, ""D"": -22.663113873451948}","{""A"": -15.6994769112207, ""B"": -16.04982570715947, ""C"": -20.905813668265182, ""D"": -20.946709856390953}",text_only,route_phase3,Which method is listed as Phase 3 in the route?,80,1,0.176339
0.901,1257,80,0.370512,A,A,A,True,True,True,-12.7524,-12.6555,0.0969057,5.57247,6.85974,"{""A"": -12.752443125471473, ""B"": -18.324914421886206, ""C"": -25.615864077582955, ""D"": -21.615622255951166}","{""A"": -12.655537400394678, ""B"": -19.515280980616808, ""C"": -25.796432472765446, ""D"": -20.758394037373364}",text_only,long_context_bottleneck,What bottleneck is highlighted for long-context decode?,80,0,0.177455
0.901,1258,79,0.35269,A,A,A,True,True,True,-15.4685,-18.3727,-2.90417,2.53602,0.034438,"{""A"": -15.468533321516588, ""B"": -26.437658164650202, ""C"": -18.00455755367875, ""D"": -22.665814893320203}","{""A"": -18.372700817883015, ""B"": -27.37847888469696, ""C"": -18.407138854265213, ""D"": -22.13336604088545}",text_only,quest_decode_selection,"During decode, what does Quest select?",80,1,0.176339
0.901,1265,80,0.362783,A,A,A,True,True,True,-15.4863,-13.5856,1.90074,2.33835,2.81283,"{""A"": -15.486311435553944, ""B"": -19.083688730723225, ""C"": -30.420527301728725, ""D"": -17.824661377700977}","{""A"": -13.585567756177625, ""B"": -19.562428609933704, ""C"": -28.82940398179926, ""D"": -16.3983933031559}",text_only,quest_summary_form,What summary form does the Quest design choose for each KV block?,80,0,0.177455
0.901,1261,80,0.352771,A,A,A,True,True,True,-13.9754,-13.1739,0.801518,2.42178,1.92307,"{""A"": -13.97538874228485, ""B"": -16.3971646921309, ""C"": -17.77355841640383, ""D"": -18.40202853221831}","{""A"": -13.173870276659727, ""B"": -15.096938817737282, ""C"": -16.349401290062815, ""D"": -16.891270576743068}",text_only,quest_dtype,What dtype choice is listed for Quest summaries?,80,0,0.177455
0.901,1272,80,0.367386,A,A,A,True,True,True,-13.7068,-11.4508,2.25597,1.93063,2.80019,"{""A"": -13.706773097877885, ""B"": -15.637404022418195, ""C"": -18.50554686426767, ""D"": -17.00593475092319}","{""A"": -11.450803164436365, ""B"": -14.655457830289379, ""C"": -14.25099548563594, ""D"": -16.38137235155591}",text_only,quest_default_enable,What is the default behavior of the Quest top-k blocks configuration?,80,0,0.177455
0.901,1269,80,0.373453,A,A,A,True,True,True,-14.9388,-14.4723,0.466503,1.38537,0.352196,"{""A"": -14.93882991868304, ""B"": -16.32419758933247, ""C"": -17.527942828834057, ""D"": -19.539505186490715}","{""A"": -14.472326540286303, ""B"": -14.82452241826104, ""C"": -16.31763520091772, ""D"": -18.612693508155644}",text_only,quest_min_seq_len,Why is Quest gated by a minimum sequence length?,80,0,0.177455
0.901,1278,80,0.364571,B,B,B,True,True,True,-15.8089,-14.3234,1.4855,0.63258,2.82018,"{""A"": -16.65017525688745, ""B"": -15.808935977693181, ""C"": -21.2334637416061, ""D"": -16.441515783779323}","{""A"": -17.143617825582623, ""B"": -14.32344091226696, ""C"": -19.266451815325127, ""D"": -17.778256189543754}",text_only,phase2_magic_number,What phrase does the minimal needle-in-haystack evaluation insert?,80,0,0.177455
0.901,1277,80,0.368433,A,A,A,True,True,True,-14.712,-16.3395,-1.62754,1.81889,1.67019,"{""A"": -14.711976907798089, ""B"": -16.53086897562025, ""C"": -17.948314661276527, ""D"": -22.660430025774986}","{""A"": -16.339516533655114, ""B"": -18.009708130994113, ""C"": -18.23015314247459, ""D"": -21.9566104572732}",text_only,prefix_cache_bug,What bug affected the first needle evaluation results?,80,0,0.177455
0.901,1266,79,0.364885,B,B,B,True,True,True,-15.1276,-15.2085,-0.0808323,0.25,0.125,"{""A"": -15.377631263341755, ""B"": -15.127631263341755, ""C"": -19.524332038519788, ""D"": -24.464324877539184}","{""A"": -15.333463575690985, ""B"": -15.208463575690985, ""C"": -17.750584108172916, ""D"": -21.542134825023822}",text_only,topk8_quality,What starting point does the document describe as accurate enough in the needle evaluation?,80,1,0.176339
0.901,1267,79,0.34677,B,B,B,True,True,True,-17.0755,-17.3833,-0.307716,0.233699,0.0320492,"{""A"": -17.309247189725284, ""B"": -17.075547827371338, ""C"": -18.81672122143209, ""D"": -20.14775490295142}","{""A"": -17.41531275078887, ""B"": -17.38326357506594, ""C"": -19.03072805982083, ""D"": -20.603916470427066}",text_only,sweet_spot,What serving pattern is described as Quest's sweet spot?,80,1,0.176339
