threshold,prompt_tokens,compressed_heads,bank_build_s,baseline_pred,compact_pred,answer,baseline_correct,compact_correct,agreement,baseline_answer_score,compact_answer_score,answer_score_delta,baseline_margin,compact_margin,baseline_scores,compact_scores,choice_scoring,task_id,question
0.45,1262,23,0.196411,A,A,A,True,True,True,-12.3911,-13.946,-1.55494,6.80929,6.22836,"{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}","{""A"": -13.94600161514245, ""B"": -25.15205132169649, ""C"": -20.174358931719325, ""D"": -20.20500403083861}",text_only,route_phase1,Which method is listed as Phase 1 in the route?
0.45,1264,23,0.062104,A,A,A,True,True,True,-15.4029,-16.655,-1.25207,4.77104,3.38172,"{""A"": -15.402930839860346, ""B"": -20.173967789472954, ""C"": -20.363294799346477, ""D"": -24.459885722055333}","{""A"": -16.655005026608706, ""B"": -22.112670247188362, ""C"": -20.036729030311108, ""D"": -23.182225076307077}",text_only,route_phase2,Which item is listed as Phase 2 in the route?
0.45,1265,23,0.0636402,A,A,A,True,True,True,-16.6898,-18.4286,-1.73874,1.31968,1.12251,"{""A"": -16.68983697553631, ""B"": -18.009518101171125, ""C"": -20.990105989309086, ""D"": -22.663113873451948}","{""A"": -18.428575838683173, ""B"": -19.551088441134198, ""C"": -20.845269216457382, ""D"": -22.477644935250282}",text_only,route_phase3,Which method is listed as Phase 3 in the route?
0.45,1257,23,0.061448,A,A,A,True,True,True,-12.7524,-13.0219,-0.269444,5.57247,5.50606,"{""A"": -12.752443125471473, ""B"": -18.324914421886206, ""C"": -25.615864077582955, ""D"": -21.615622255951166}","{""A"": -13.021886745467782, ""B"": -18.527947943657637, ""C"": -24.3296857830137, ""D"": -21.82228794693947}",text_only,long_context_bottleneck,What bottleneck is highlighted for long-context decode?
0.45,1258,23,0.0614811,A,A,A,True,True,True,-15.4685,-17.6254,-2.15692,2.53602,0.522203,"{""A"": -15.468533321516588, ""B"": -26.437658164650202, ""C"": -18.00455755367875, ""D"": -22.665814893320203}","{""A"": -17.6254498596536, ""B"": -26.025265423581004, ""C"": -18.147652592509985, ""D"": -23.0764501709491}",text_only,quest_decode_selection,"During decode, what does Quest select?"
0.45,1265,23,0.0608267,A,D,A,True,False,False,-15.4863,-19.0643,-3.57797,2.33835,-0.802876,"{""A"": -15.486311435553944, ""B"": -19.083688730723225, ""C"": -30.420527301728725, ""D"": -17.824661377700977}","{""A"": -19.064285370521247, ""B"": -20.938727108296007, ""C"": -29.84648578008637, ""D"": -18.261409868486226}",text_only,quest_summary_form,What summary form does the Quest design choose for each KV block?
0.45,1261,23,0.0610877,A,A,A,True,True,True,-13.9754,-14.0284,-0.0529725,2.42178,2.98237,"{""A"": -13.97538874228485, ""B"": -16.3971646921309, ""C"": -17.77355841640383, ""D"": -18.40202853221831}","{""A"": -14.028361205942929, ""B"": -17.01073577928355, ""C"": -19.198677354026586, ""D"": -18.140724853693882}",text_only,quest_dtype,What dtype choice is listed for Quest summaries?
0.45,1272,23,0.0596073,A,B,A,True,False,False,-13.7068,-17.3767,-3.66989,1.93063,-0.330985,"{""A"": -13.706773097877885, ""B"": -15.637404022418195, ""C"": -18.50554686426767, ""D"": -17.00593475092319}","{""A"": -17.3766600919771, ""B"": -17.045675495523028, ""C"": -21.479841347492766, ""D"": -24.27518932550447}",text_only,quest_default_enable,What is the default behavior of the Quest top-k blocks configuration?
0.45,1269,23,0.0623744,A,A,A,True,True,True,-14.9388,-16.6299,-1.69103,1.38537,2.52936,"{""A"": -14.93882991868304, ""B"": -16.32419758933247, ""C"": -17.527942828834057, ""D"": -19.539505186490715}","{""A"": -16.629856564541114, ""B"": -19.15921919324319, ""C"": -20.046556793153286, ""D"": -23.942292565479875}",text_only,quest_min_seq_len,Why is Quest gated by a minimum sequence length?
0.5,1262,11,0.035924,A,A,A,True,True,True,-12.3911,-13.3959,-1.00479,6.80929,6.56045,"{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}","{""A"": -13.395853260721196, ""B"": -24.855931392870843, ""C"": -19.956303596496582, ""D"": -20.844216179812065}",text_only,route_phase1,Which method is listed as Phase 1 in the route?
