threshold,prompt_tokens,compressed_heads,bank_build_s,baseline_pred,compact_pred,answer,baseline_correct,compact_correct,agreement,baseline_answer_score,compact_answer_score,answer_score_delta,baseline_margin,compact_margin,baseline_scores,compact_scores,choice_scoring,task_id,question
0.943,1262,12,0.166898,A,A,A,True,True,True,-12.3911,-10.7326,1.65851,6.80929,7.59133,"{""A"": -12.391063455477706, ""B"": -23.58097049733624, ""C"": -19.200351446401328, ""D"": -20.42383973628239}","{""A"": -10.732556330374791, ""B"": -22.845170041080564, ""C"": -18.323886479833163, ""D"": -19.602504151484027}",text_only,route_phase1,Which method is listed as Phase 1 in the route?
0.943,1264,12,0.0430493,A,A,A,True,True,True,-15.4029,-14.8711,0.531799,4.77104,4.68618,"{""A"": -15.402930839860346, ""B"": -20.173967789472954, ""C"": -20.363294799346477, ""D"": -24.459885722055333}","{""A"": -14.871132233725803, ""B"": -20.550140096584073, ""C"": -19.557309631141834, ""D"": -23.08677232603077}",text_only,route_phase2,Which item is listed as Phase 2 in the route?
0.943,1265,12,0.053372,A,A,A,True,True,True,-16.6898,-15.0878,1.60203,1.31968,1.08787,"{""A"": -16.68983697553631, ""B"": -18.009518101171125, ""C"": -20.990105989309086, ""D"": -22.663113873451948}","{""A"": -15.087806712952442, ""B"": -16.175676093043876, ""C"": -20.43888279208113, ""D"": -21.599335581064224}",text_only,route_phase3,Which method is listed as Phase 3 in the route?
0.943,1257,12,0.0431721,A,A,A,True,True,True,-12.7524,-12.2755,0.476935,5.57247,5.96776,"{""A"": -12.752443125471473, ""B"": -18.324914421886206, ""C"": -25.615864077582955, ""D"": -21.615622255951166}","{""A"": -12.27550850668922, ""B"": -18.24326628819108, ""C"": -24.407946214079857, ""D"": -20.854458005167544}",text_only,long_context_bottleneck,What bottleneck is highlighted for long-context decode?
0.943,1258,12,0.0429396,A,A,A,True,True,True,-15.4685,-16.6237,-1.15512,2.53602,0.874486,"{""A"": -15.468533321516588, ""B"": -26.437658164650202, ""C"": -18.00455755367875, ""D"": -22.665814893320203}","{""A"": -16.623656110372394, ""B"": -25.84440317749977, ""C"": -17.498142451047897, ""D"": -21.91813940834254}",text_only,quest_decode_selection,"During decode, what does Quest select?"
0.943,1265,12,0.0429204,A,A,A,True,True,True,-15.4863,-15.2772,0.209084,2.33835,1.608,"{""A"": -15.486311435553944, ""B"": -19.083688730723225, ""C"": -30.420527301728725, ""D"": -17.824661377700977}","{""A"": -15.27722771349363, ""B"": -18.907598072779365, ""C"": -29.82898149639368, ""D"": -16.885231219232082}",text_only,quest_summary_form,What summary form does the Quest design choose for each KV block?
0.943,1261,12,0.0424659,A,A,A,True,True,True,-13.9754,-12.9363,1.03913,2.42178,2.73379,"{""A"": -13.97538874228485, ""B"": -16.3971646921309, ""C"": -17.77355841640383, ""D"": -18.40202853221831}","{""A"": -12.936256480403244, ""B"": -15.670051013091324, ""C"": -16.42122112051584, ""D"": -17.312985252188128}",text_only,quest_dtype,What dtype choice is listed for Quest summaries?
0.943,1272,12,0.0420365,A,A,A,True,True,True,-13.7068,-13.2924,0.414331,1.93063,1.4621,"{""A"": -13.706773097877885, ""B"": -15.637404022418195, ""C"": -18.50554686426767, ""D"": -17.00593475092319}","{""A"": -13.292442277233931, ""B"": -14.75454014877323, ""C"": -16.426884995249566, ""D"": -17.445844047877472}",text_only,quest_default_enable,What is the default behavior of the Quest top-k blocks configuration?
0.943,1269,12,0.0427173,A,A,A,True,True,True,-14.9388,-15.1477,-0.20883,1.38537,1.40922,"{""A"": -14.93882991868304, ""B"": -16.32419758933247, ""C"": -17.527942828834057, ""D"": -19.539505186490715}","{""A"": -15.14766001344833, ""B"": -16.556879146621213, ""C"": -17.672553814947605, ""D"": -19.394104015547782}",text_only,quest_min_seq_len,Why is Quest gated by a minimum sequence length?
0.943,1278,12,0.0426283,B,B,B,True,True,True,-15.8089,-14.6358,1.17314,0.63258,1.35187,"{""A"": -16.65017525688745, ""B"": -15.808935977693181, ""C"": -21.2334637416061, ""D"": -16.441515783779323}","{""A"": -15.987663259380497, ""B"": -14.635794564237585, ""C"": -20.688560627386323, ""D"": -17.27295718761161}",text_only,phase2_magic_number,What phrase does the minimal needle-in-haystack evaluation insert?
0.943,1277,12,0.0425586,A,A,A,True,True,True,-14.712,-15.1133,-0.401283,1.81889,1.44806,"{""A"": -14.711976907798089, ""B"": -16.53086897562025, ""C"": -17.948314661276527, ""D"": -22.660430025774986}","{""A"": -15.113259925579769, ""B"": -16.90951508693979, ""C"": -16.561324677430093, ""D"": -22.096843904815614}",text_only,prefix_cache_bug,What bug affected the first needle evaluation results?
0.943,1266,12,0.0427805,B,B,B,True,True,True,-15.1276,-15.423,-0.295328,0.25,0.25,"{""A"": -15.377631263341755, ""B"": -15.127631263341755, ""C"": -19.524332038519788, ""D"": -24.464324877539184}","{""A"": -15.672958777751774, ""B"": -15.422958777751774, ""C"": -18.68439992155254, ""D"": -22.805299255764112}",text_only,topk8_quality,What starting point does the document describe as accurate enough in the needle evaluation?
0.943,1267,12,0.0428142,B,B,B,True,True,True,-17.0755,-17.2839,-0.208383,0.233699,0.820501,"{""A"": -17.309247189725284, ""B"": -17.075547827371338, ""C"": -18.81672122143209, ""D"": -20.14775490295142}","{""A"": -18.10443227435462, ""B"": -17.283930835459614, ""C"": -19.200721921399236, ""D"": -19.354428727179766}",text_only,sweet_spot,What serving pattern is described as Quest's sweet spot?
