variant=repetitive model=/data00/home/sitian/.ms_cache/Qwen/Qwen3-8B seq_len=8192 model_answered_correctly=True
classification=DISCRIMINATIVE
layer  gran    k/L  quest_ph  quest_sh  oracle  best_bad   margin  needle  disc
    7    32  50.0%    0.9843    0.9823  0.9891    0.9743  +0.0100   1.000    no
   14   256   3.1%    0.9461    0.9461  0.9461    0.9461  +0.0000   0.000    no
   14   256   6.2%    0.9461    0.9461  0.9461    0.9461  +0.0000   0.000    no
   14   256  12.5%    0.9749    0.9756  0.9769    0.9499  +0.0250   0.750    no
   14   256  25.0%    0.9813    0.9808  0.9844    0.9573  +0.0241   0.875    no
   14   256  50.0%    0.9891    0.9920  0.9920    0.9806  +0.0085   1.000    no
   14    64   2.3%    0.9512    0.9623  0.9632    0.9471  +0.0041   0.375    no
   14    64   4.7%    0.9688    0.9704  0.9726    0.9448  +0.0240   1.000    no
   14    64  10.9%    0.9756    0.9747  0.9786    0.9522  +0.0234   1.000    no
   14    64  25.0%    0.9823    0.9833  0.9860    0.9592  +0.0231   1.000    no
   14    64  50.0%    0.9894    0.9919  0.9932    0.9659  +0.0235   1.000    no
   14    32   2.0%    0.9612    0.9635  0.9664    0.9410  +0.0202   0.750    no
   14    32   5.1%    0.9676    0.9711  0.9740    0.9497  +0.0178   0.875    no
   14    32  10.9%    0.9748    0.9758  0.9800    0.9498  +0.0250   1.000    no
   14    32  25.0%    0.9825    0.9831  0.9871    0.9539  +0.0286   1.000    no
   14    32  50.0%    0.9892    0.9919  0.9938    0.9779  +0.0113   1.000    no
   21   256   3.1%    0.8897    0.8897  0.8897    0.8897  +0.0000   0.000    no
   21   256   6.2%    0.8897    0.8897  0.8897    0.8897  +0.0000   0.000    no
   21   256  12.5%    0.9335    0.9053  0.9576    0.8939  +0.0396   0.000    no
   21   256  25.0%    0.9723    0.9763  0.9787    0.9295  +0.0428   0.750    no
   21   256  50.0%    0.9889    0.9896  0.9898    0.9554  +0.0335   0.875    no
   21    64   2.3%    0.9177    0.9348  0.9348    0.8875  +0.0302   0.125    no
   21    64   4.7%    0.9507    0.9563  0.9574    0.8907  +0.0600   0.625    no
   21    64  10.9%    0.9675    0.9685  0.9723    0.9382  +0.0293   0.750    no
   21    64  25.0%    0.9784    0.9786  0.9836    0.8959  +0.0824   1.000    no
   21    64  50.0%    0.9900    0.9908  0.9937    0.9541  +0.0358   1.000    no
   21    32   2.0%    0.9203    0.8885  0.9485    0.8425  +0.0778   0.125    no
   21    32   5.1%    0.9558    0.9593  0.9667    0.8490  +0.1067   0.750   yes
   21    32  10.9%    0.9683    0.9682  0.9764    0.8487  +0.1196   0.750   yes
   21    32  25.0%    0.9780    0.9810  0.9864    0.8676  +0.1104   0.750   yes
   21    32  50.0%    0.9904    0.9921  0.9950    0.9171  +0.0733   1.000    no
   28   256   3.1%    0.8888    0.8888  0.8888    0.8888  +0.0000   0.000    no
   28   256   6.2%    0.8888    0.8888  0.8888    0.8888  +0.0000   0.000    no
   28   256  12.5%    0.9351    0.9039  0.9616    0.8921  +0.0430   0.000    no
   28   256  25.0%    0.9804    0.9797  0.9807    0.8988  +0.0816   0.500    no
   28   256  50.0%    0.9900    0.9898  0.9914    0.9609  +0.0291   0.750    no
   28    64   2.3%    0.9057    0.8820  0.9379    0.8833  +0.0224   0.250    no
   28    64   4.7%    0.9438    0.9544  0.9606    0.8858  +0.0580   0.625    no
   28    64  10.9%    0.9709    0.9672  0.9734    0.9396  +0.0313   0.750    no
   28    64  25.0%    0.9814    0.9802  0.9840    0.9013  +0.0802   0.875    no
   28    64  50.0%    0.9911    0.9913  0.9936    0.9433  +0.0478   1.000    no
   28    32   2.0%    0.9243    0.9400  0.9488    0.8295  +0.0948   0.500    no
   28    32   5.1%    0.9625    0.9582  0.9655    0.8304  +0.1321   0.625   yes
   28    32  10.9%    0.9723    0.9713  0.9756    0.8436  +0.1287   0.625   yes
   28    32  25.0%    0.9824    0.9819  0.9858    0.8683  +0.1141   0.875   yes
   28    32  50.0%    0.9919    0.9917  0.9945    0.9200  +0.0719   1.000    no
   35   256   3.1%    0.9391    0.9391  0.9391    0.9391  +0.0000   0.000    no
   35   256   6.2%    0.9391    0.9391  0.9391    0.9391  +0.0000   0.000    no
   35   256  12.5%    0.9469    0.9484  0.9511    0.9450  +0.0019   0.500    no
   35   256  25.0%    0.9578    0.9557  0.9634    0.9511  +0.0068   0.875    no
   35   256  50.0%    0.9749    0.9739  0.9826    0.9698  +0.0051   0.875    no
   35    64   2.3%    0.9342    0.9349  0.9357    0.9319  +0.0023   0.375    no
   35    64   4.7%    0.9405    0.9400  0.9437    0.9358  +0.0047   0.750    no
